xtf_id,IDE,Numero,Abreviation,Nom_TP,Nom_RC,Validite_DebutValidite,Validite_FinValidite,Validite_DateTraitement,Validite_Etat
ch14uvag00000890,CHE-414.951.903,1314,TLFC,TéléLaFouly-ChampexLac SA,TéléLaFouly-ChampexLac SA,20131119,,20250727,20250727
ch14uvag00165672,CHE-399.996.888,1320,LTBAG,LTB Lungern-Turren-Bahn AG,LTB Lungern-Turren-Bahn AG,20150721,,20250727,20250727
ch14uvag00065408,CHE-456.125.779,2799,BBMAG,Bergbahnen Malbun AG,Bergbahnen Malbun AG,18000101,,20250727,20250727
ch14uvag00000992,CHE-105.846.594,488,ZBB,Zugerbergbahn AG,Zugerbergbahn AG,19060110,,20250727,20250727
ch14uvag00000342,CHE-108.107.719,407,BB,Bürgenstock Bahn AG ,Bürgenstock Bahn AG ,18000101,,20250727,20250727
ch14uvag00000388,CHE-101.404.352,114,BOB,Berner Oberland-Bahnen AG,Berner Oberland-Bahnen AG,19481104,,20250727,20250727
ch14uvag00000733,CHE-101.388.807,201,RB,RIGI BAHNEN AG,RIGI BAHNEN AG,18830614,,20250727,20250727
ch14uvag00000961,CHE-105.413.901,82,VMik,Mikado 1244,Mikado 1244,18000101,,20250727,20250727
ch14uvag00000822,CHE-105.809.765,470,SMtS,Funiculaire Saint-Imier - Mont-Soleil SA,Funiculaire Saint-Imier - Mont-Soleil SA,18000101,,20250727,20250727
ch14uvag00000718,CHE-103.010.515,1252,PIZAG,Pizolbahnen AG,Pizolbahnen AG,18000101,,20250727,20250727
ch14uvag00000393,CHE-115.085.081,788,BPB,Comune di Personico,Comune di Personico,18000101,,20250727,20250727
ch14uvag00000374,CHE-105.996.259,1057,BHY,Ferien- und Sportzentrum Hoch-Ybrig AG,Ferien- und Sportzentrum Hoch-Ybrig AG,18000101,,20250727,20250727
ch14uvag00248799,CHE-114.166.386,1370,ARAT,ARATOURS SA,ARATOURS SA,18000101,,20250727,20250727
ch14uvag00000913,CHE-106.890.184,480,TSB,Treib-Seelisberg-Bahn AG,Treib-Seelisberg-Bahn AG,18000101,,20250727,20250727
ch14uvag00000765,CHE-101.917.775,1066,SAW,Sportbahnen Axalp Windegg AG,Sportbahnen Axalp Windegg AG,18000101,,20250727,20250727
ch14uvag00165858,,1329,TDEV74,"Transdev Haute Savoie, SARL ","Transdev Haute Savoie, SARL ",18000101,,20250727,20250727
ch14uvag00000805,CHE-199.439.428,605,SGV,Schifffahrtsgesellschaft des Vierwaldstättersees (SGV) AG,Schifffahrtsgesellschaft des Vierwaldstättersees (SGV) AG,20180420,,20250727,20250727
ch14uvag00000978,CHE-101.005.006,1163,WG,Wasserngrat 2000 AG,Wasserngrat 2000 AG,18000101,,20250727,20250727
ch14uvag00000490,CHE-101.461.019,81,ev,EUROVAPOR,EUROVAPOR,18000101,,20250727,20250727
ch14uvag00354738,,9092,VBA,Verein Bus alpin,Verein Bus alpin,18000101,,20250727,20250727
ch14uvag00000613,CHE-105.761.733,1016,TUG,Touristische Unternehmung Grächen AG,Touristische Unternehmung Grächen AG,18000101,,20250727,20250727
ch14uvag00000925,CHE-105.757.619,1094,TVCM,Société de la Télécabine de Vercorin SA ,Société de la Télécabine de Vercorin SA ,18000101,,20250727,20250727
ch14uvag00000824,CHE-108.077.716,614,SNL,SNL - SOCIETÀ NAVIGAZIONE DEL LAGO DI LUGANO S.A.,SNL - SOCIETÀ NAVIGAZIONE DEL LAGO DI LUGANO S.A.,19830331,,20250727,20250727
ch14uvag00000588,CHE-105.947.143,148,KWO,Kraftwerke Oberhasli AG,Kraftwerke Oberhasli AG,18000101,,20250727,20250727
ch14uvag00224714,,828,ABG,Alsa Bustours Gex SAS,Alsa Bustours Gex SAS,20191015,,20250727,20250727
ch14uvag00000991,CHE-107.913.882,1105,ZBAG,Zermatt Bergbahnen AG,Zermatt Bergbahnen AG,18000101,,20250727,20250727
ch14uvag00000874,CHE-103.327.202,1028,TBR,"Télésiège Buttes - La Robella et Téleskis Chasseron Nord (T.B.R.C.), Société coopérative","Télésiège Buttes - La Robella et Téleskis Chasseron Nord (T.B.R.C.), Société coopérative",18000101,,20250727,20250727
ch14uvag00383281,,1393,VAVT,VerticAlp Vallée du Trient SA,VerticAlp Vallée du Trient SA,18000101,,20250727,20250727
